A,B,C,D
72.618,26.6949,71.7879,75.1698
72.1824,73.3534,66.9782,73.5241
74.5259,74.0441,69.797,73.0402
71.2688,72.468,64.4145,64.6432
74.2661,72.5502,74.4064,76.9179
76.5406,75.5508,60.5241,78.2813
76.5314,78.986,63.4603,74.5302
77.9482,51.0418,69.3223,67.0284
76.6911,66.539,27.5097,64.5624
71.8729,76.5089,76.0329,78.613
71.5811,74.0727,73.8794,68.9094
75.9832,75.4085,62.4687,76.5981
57.3603,72.0197,71.5545,73.557
75.8517,72.4223,76.1039,70.2135
73.0381,71.4117,74.3051,62.9728
76.3656,75.2927,75.9756,76.032
71.9204,75.9816,70.3387,76.5815
73.7851,76.2991,71.9168,76.2528
76.2495,74.2037,73.6888,68.8355
73.0571,66.0164,36.4969,78.0514
71.4,72.6278,74.6763,78.853
76.6299,70.1302,69.0467,71.6962
69.984,70.2992,71.7177,70.3194
75.8056,70.7636,62.5597,72.6021
71.98,73.2775,73.3191,73.2542
75.1209,71.1874,65.6634,70.8922
72.1162,71.4962,67.22863846,75.5934
76.979,75.1581,11.40978562,75.5416
74.7761,70.7249,,74.6426
73.7508,73.8943,,69.7364
74.4014,72.8015,,77.551
71.1627,70.3899,,76.163
74.8502,70.7924,,74.3248
75.1334,73.9068,,76.4746
71.5187,72.9604,,73.2822
71.8971,74.4808,,73.9126
76.7698,69.8586,,69.3113
73.9952,74.2198,,65.0099
73.62917105,71.04828684,,72.3253
3.428439839,8.587729513,,67.792
,,,74.8341
,,,70.6838
,,,62.618
,,,72.59833023
,,,4.383210031
