A,B,C,D
-22.1069,-20.2713,-21.3887,-22.6257
-21.6281,-22.4661,-22.1868,-22.6656
-23.0247,-22.2267,-23.0247,-21.9473
-21.1093,-22.5858,-21.9872,-19.4733
-23.0247,-22.6656,-21.6281,-23.0646
-22.2267,-21.7478,-23.1045,-21.7079
-22.1468,-22.1868,-22.9449,-21.0295
-22.4661,-22.7853,-20.431,-21.4286
-21.5084,-21.9074,-21.0295,-21.7478
-22.2267,-22.3863,-22.2267,-21.9872
-21.7877,-21.2291,-22.3065,-19.9521
-22.8651,-22.0271,-22.9848,-22.905
-21.4286,-21.3887,-6.66401,-21.5084
-22.5459,-22.3863,-22.506,-21.5084
-22.506,-22.6257,-21.8675,-22.3863
-22.8651,-22.1468,-22.067,-23.0247
-21.4286,-23.1045,-12.5299,-21.7877
-22.5459,-23.2243,-22.8252,-21.8276
-21.4685,-21.5084,-21.1093,-21.2291
-22.5858,-22.8651,-30.3671,-22.0271
-21.9872,-22.1868,-21.5483,-22.3065
-22.9449,-22.2267,-20.8699,-21.3488
-21.5084,-22.2267,-21.8675,-22.6257
-22.5858,-22.1868,-21.8675,-21.7877
-22.3464,-22.8252,-22.7055,-22.1468
-22.2666,-22.3464,-21.3089,-21.8276
-21.5483,-21.4685,-21.35950038,-23.2642
-22.5858,-22.905,3.983416297,-21.8675
-21.4685,-22.4661,,-21.7079
-22.1468,-21.8675,,-13.5275
-21.9872,-21.9473,,-22.3464
-21.3488,-21.7478,,-22.5459
-21.7877,-21.8276,,-21.7079
-22.7454,-22.5858,,-21.8276
-22.2267,-22.1868,,-21.8675
-21.6281,-22.2666,,-22.4262
-22.2267,-21.3089,,-19.6728
-21.5084,-22.506,,-21.8675
-22.11429737,-22.17941053,,-21.7478
0.541028049,0.581742521,,-21.1891
,,,-21.8675
,,,-21.2291
,,,-20.9098
,,,-21.61509767
,,,1.495585625
