,A,B,C,D,,,A,B,C,D,,,A,B,C,D,,,,,,,,
Jsc,-21.9872,-20.3113,-21.2291,-22.5459,,,-22.1069,-20.2713,-21.3887,-22.6257,,,-21.9872,-20.3113,-21.2291,-22.5459,,,,,,,,
A- Sprayed Perovskite,-21.1492,-22.4262,-22.1069,-22.2267,,,-21.6281,-22.4661,-22.1868,-22.6656,,,-21.1492,-22.4262,-22.1069,-22.2267,,,,,,,,
B- Sprayed Perovskite & spiro-OMeTAD,-22.8651,-22.1868,-22.905,-21.5483,,,-23.0247,-22.2267,-23.0247,-21.9473,,,-22.8651,-22.1868,-22.905,-21.5483,,,,,,,,
C-Sprayed SnO2 & Perovskite,-20.4709,-22.2267,-21.7877,-19.154,,,-21.1093,-22.5858,-21.9872,-19.4733,,,-20.4709,-22.2267,-21.7877,-19.154,,,,,,,,
D- All three layers sprayed,-22.9449,-22.5858,-21.3887,-22.9449,,,-23.0247,-22.6656,-21.6281,-23.0646,,,-22.9449,-22.5858,-21.3887,-22.9449,,,,,,,,
,-22.1868,-21.4685,-22.8651,-21.5882,,,-22.2267,-21.7478,-23.1045,-21.7079,,,-22.1868,-21.4685,-22.8651,-21.5882,,,,,,,,
,-21.9872,-22.4262,-22.905,-20.7103,,,-22.1468,-22.1868,-22.9449,-21.0295,,,-21.9872,-22.4262,-22.905,-20.7103,,,,,,,,
,-22.4661,-22.7454,-20.1516,-21.1093,,,-22.4661,-22.7853,-20.431,-21.4286,,,-22.4661,-22.7454,-20.1516,-21.1093,,,,,,,,
,-21.3887,-21.7877,-20.6704,-21.5084,,,-21.5084,-21.9074,-21.0295,-21.7478,,,-21.3887,-21.7877,-20.6704,-21.5084,,,,,,,,
,-21.7877,-22.2666,-22.1069,-22.067,,,-22.2267,-22.3863,-22.2267,-21.9872,,,-21.7877,-22.2666,-22.1069,-22.067,,,,,,,,
,-21.4685,-20.7901,-22.0271,-19.6329,,,-21.7877,-21.2291,-22.3065,-19.9521,,,-21.4685,-20.7901,-22.0271,-19.6329,,,,,,,,
,-22.8252,-22.0271,-23.0247,-22.8252,,,-22.8651,-22.0271,-22.9848,-22.905,,,-22.8252,-22.0271,-23.0247,-22.8252,,,,,,,,
,-20.5906,-21.3089,-6.54429,-21.3089,,,-21.4286,-21.3887,-6.66401,-21.5084,,,-20.5906,-21.3089,-6.54429,-21.3089,,,,,,,,
,-22.506,-22.2666,-22.6257,-21.1093,,,-22.5459,-22.3863,-22.506,-21.5084,,,-22.506,-22.2666,-22.6257,-21.1093,,,,,,,,
,-22.5459,-22.5459,-21.7079,-22.3464,,,-22.506,-22.6257,-21.8675,-22.3863,,,-22.5459,-22.5459,-21.7079,-22.3464,,,,,,,,
,-22.8651,-22.1069,-22.0271,-22.8651,,,-22.8651,-22.1468,-22.067,-23.0247,,,-22.8651,-22.1069,-22.0271,-22.8651,,,,,,,,
,-21.4286,-23.1045,-12.3304,-21.7478,,,-21.4286,-23.1045,-12.5299,-21.7877,,,-21.4286,-23.1045,-12.3304,-21.7478,,,,,,,,
,-22.4262,-23.2243,-22.6257,-21.9074,,,-22.5459,-23.2243,-22.8252,-21.8276,,,-22.4262,-23.2243,-22.6257,-21.9074,,,,,,,,
,-21.3488,-21.5084,-21.0295,-21.1891,,,-21.4685,-21.5084,-21.1093,-21.2291,,,-21.3488,-21.5084,-21.0295,-21.1891,,,,,,,,
,-22.506,-22.7853,-30.2075,-22.1069,,,-22.5858,-22.8651,-30.3671,-22.0271,,,-22.506,-22.7853,-30.2075,-22.1069,,,,,,,,
,-21.7478,-22.0271,-21.269,-22.1069,,,-21.9872,-22.1868,-21.5483,-22.3065,,,-21.7478,-22.0271,-21.269,-22.1069,,,,,,,,
,-22.8651,-22.1868,-20.7502,-21.3089,,,-22.9449,-22.2267,-20.8699,-21.3488,,,-22.8651,-22.1868,-20.7502,-21.3089,,,,,,,,
,-21.3089,-21.9872,-21.4286,-21.9473,,,-21.5084,-22.2267,-21.8675,-22.6257,,,-21.3089,-21.9872,-21.4286,-21.9473,,,,,,,,
,-22.4262,-21.8276,-21.9473,-21.4685,,,-22.5858,-22.1868,-21.8675,-21.7877,,,-22.4262,-21.8276,-21.9473,-21.4685,,,,,,,,
,-22.2267,-22.905,-22.8651,-21.8276,,,-22.3464,-22.8252,-22.7055,-22.1468,,,-22.2267,-22.905,-22.8651,-21.8276,,,,,,,,
,-22.3863,-22.4262,-21.2291,-21.7877,,,-22.2666,-22.3464,-21.3089,-21.8276,,,-22.3863,-22.4262,-21.2291,-21.7877,,,,,,,,
,-21.3488,-21.3089,-21.22136885,-23.2642,,,-21.5483,-21.4685,-21.35950038,-23.2642,,,-21.3488,-21.3089,-21.3887,-23.2642,,,,,,,,
