A,B,C,D
15.9218,11.103,12.3432,15.739
14.0064,17.1014,11.6137,12.9633
18.1548,17.6281,16.1971,13.253
13.162,17.0311,10.6927,11.0894
17.8739,17.3472,10.482,18.5315
17.3823,15.2849,13.2474,16.2666
17.0591,18.6425,15.3256,11.7231
18.8699,15.8867,11.4637,8.08939
16.3049,15.3232,6.22506,10.8244
15.992,16.747,17.5619,15.992
13.8292,14.3974,14.4629,12.166
18.5674,16.3639,14.648,17.6281
10.8029,16.4342,3.15084,15.1173
18.3559,15.6872,16.9609,11.8994
15.7175,16.4038,15.3184,14.7997
18.2458,16.8508,16.5754,18.6752
14.1788,19.2051,5.74302,17.0591
18.099,19.3176,16.6257,16.5068
16.7358,16.5563,14.3799,11.6201
16.8555,16.0335,10.1389,17.49
14.2243,15.8547,15.7542,18.6864
18.1724,15.8212,13.9186,13.2195
13.664,14.1421,13.8739,11.6337
18.0646,14.3655,13.4749,14.7901
15.6265,17.7773,16.5587,13.9441
16.6449,17.5619,13.5539,15.3855
14.4804,15.2713,13.08809692,18.4709
19.1301,18.2091,3.647332412,16.1229
16.0176,17.0662,,16.4038
16.8907,15.9577,,2.8731
16.3695,16.5204,,15.4828
13.8819,14.3336,,17.921
16.5746,15.5531,,15.8547
17.5978,18.0646,,16.2937
15.3743,16.7502,,14.9537
14.648,17.2546,,14.7486
18.0255,14.2666,,14.0447
15.5802,16.9258,,12.9338
16.23900526,16.34317895,,16.1636
1.891773346,1.577434813,,10.403
,,,15.7063
,,,14.9497
,,,4.18516
,,,14.24660814
,,,3.45024002
