A,B,C,D
17.3464,1.14525,16.399,18.1724
16.399,17.921,15.7542,17.8388
18.7231,17.9928,17.3304,17.1365
15.767,17.8037,14.6848,12.0184
18.6752,18.0646,17.3823,19.4206
18.7175,17.7686,12.494,18.5762
18.5299,19.2801,14.0782,16.4725
19.3551,12.2985,14.6145,13.5323
17.9888,15.4693,2.49322,14.1325
17.2386,18.5762,18.3559,18.8699
16.2235,16.8795,17.8132,14.2338
18.9433,18.2458,15.0423,19.1269
12.3903,16.7773,2.99282,17.2386
18.6129,17.3823,18.6496,15.8891
17.842,17.4541,17.7773,14.0782
19.2051,18.2458,18.0623,19.0168
16.5204,19.4206,5.81006,18.2298
18.2825,19.6177,17.6983,18.0623
17.842,17.4046,16.6999,14.1628
17.7773,16.2298,11.0982,18.6864
16.4342,17.4541,17.49,19.3927
19.1269,16.8204,15.0838,16.5563
15.7175,16.5746,16.8077,16.7853
18.6496,16.9154,13.6592,17.095
17.4381,18.1724,18.0287,17.7318
18.1724,17.3647,13.2123,16.4693
16.6305,16.4485,14.59662308,19.0535
19.1676,18.8332,4.474151984,17.8053
17.4014,17.2769,,17.5483
17.5619,17.49,,7.71269
17.6217,17.3647,,18.3879
15.9777,16.3288,,18.7598
17.6584,16.7151,,17.4014
18.6864,18.2458,,18.2458
17.1309,17.6951,,17.3464
16.6281,18.1724,,18.0623
18.6864,15.6265,,14.3464
17.1309,18.0646,,14.4358
17.58422368,16.98791447,,16.9242
1.350491594,2.930274876,,13.7606
,,,17.4541
,,,15.9234
,,,13.3831
,,,16.63898116
,,,2.380689727
