A,B,C,D
1.06591,0.949589,1.01797,1.03755
1.00159,1.0808,0.953067,1.02076
1.08615,1.0878,1.07327,1.00579
0.987273,1.08354,0.95193,0.92275
1.09039,1.09661,0.987347,1.08531
1.09273,1.05571,0.907778,1.07303
1.08662,1.09047,0.985053,0.989744
1.1008,1.04201,0.970649,0.898723
1.08208,1.04541,0.716098,0.955224
1.06197,1.06527,1.07853,1.06724
0.988125,1.03856,1.05083,0.969744
1.08349,1.07694,1.02598,1.07597
0.836319,1.0782,0.689032,1.05646
1.08405,1.04569,1.08047,0.968923
1.06984,1.06587,1.07845,0.987442
1.09277,1.08118,1.06167,1.07408
1.04588,1.10482,0.694023,1.07662
1.09354,1.10402,1.06261,1.06607
1.07833,1.07475,1.0531,0.935405
1.06676,1.06042,0.944194,1.08123
1.00161,1.06216,1.06943,1.09057
1.07238,1.06,1.02154,1.06281
0.989263,1.01368,1.04306,1.0025
1.0783,1.03934,0.989459,1.04
1.06939,1.08583,1.07109,1.04548
1.07429,1.07753,0.944255,1.04153
1.04304,1.045,0.9815725,1.06744
1.09778,1.08713,0.115442251,1.06012
1.06811,1.0859,,1.06198
1.06957,1.06075,,0.532083
1.05344,1.07374,,1.00477
1.00241,1.02812,,1.08053
1.06255,1.06298,,1.05242
1.08911,1.0916,,1.07097
1.06241,1.08023,,1.04818
1.04277,1.08277,,1.04674
1.08567,1.01536,,1.0398
1.05359,1.06544,,0.99
1.055534211,1.064347868,,1.05774
0.049047587,0.029573471,,0.927
,,,1.03396
,,,1.03172
,,,0.927215
,,,1.015433093
,,,0.091247009
