A,B,C,D
1.08053,0.211636,1.06803,1.06848
1.05043,1.08746,1.06015,1.07045
1.09113,1.09329,1.07839,1.069
1.04803,1.08775,1.03684,0.954737
1.09214,1.09856,1.08014,1.09468
1.10022,1.08143,0.893462,1.09315
1.09326,1.10019,0.966849,1.05099
1.10526,1.05748,1.03186,0.942151
1.09056,1.06121,0.430968,1.00652
1.0791,1.08459,1.08618,1.0917
1.04024,1.07342,1.08091,1.03527
1.09035,1.09846,1.04764,1.09017
1.00804,1.08915,0.627636,1.08961
1.08838,1.07214,1.08884,1.05213
1.08541,1.08025,1.09408,0.998649
1.09988,1.0942,1.07734,1.08629
1.07195,1.10626,0.659231,1.09257
1.09901,1.1071,1.07817,1.0852
1.08995,1.09051,1.07359,0.969184
1.07738,1.0752,1.00136,1.08689
1.04684,1.08318,1.08691,1.10253
1.08783,1.07909,1.04676,1.08167
1.04418,1.06076,1.07172,1.055
1.08927,1.0774,0.998462,1.08071
1.08413,1.08649,1.08297,1.09297
1.08642,1.09159,0.944267,1.06431
1.07019,1.07163,0.992029038,1.08343
1.10245,1.094,0.165883228,1.07786
1.08398,1.08734,,1.083
1.07521,1.08238,,0.817576
1.0772,1.08679,,1.06105
1.05169,1.06667,,1.09249
1.0828,1.08172,,1.07853
1.09345,1.09306,,1.09305
1.07767,1.09313,,1.08246
1.06933,1.09576,,1.08968
1.09512,1.04974,,1.05214
1.07639,1.08146,,1.01545
1.0783,1.060854632,,1.07597
0.020711916,0.142085783,,0.957955
,,,1.06659
,,,1.06117
,,,1.02213
,,,1.053849814
,,,0.05552987
